text_id,text,эймериоз,абсцесс,диспепсия молодняка,остертагиоз,мастит,инфекционный ринотрахеит,отёк вымени,тенденит,сибирская язва,лишай,другое
27,"У коровы после отёла часто стали выходить газы и жидкий стул
У коровы после отёла, а уже прошёл месяц, почему-то часто выходят газы и стул немного жидковат.",1,0,0,0,0,0,0,0,0,0,1
28,"Здравствуйте форумчане,с прошедшими праздниками всех.Появилась проблема у нашей коровки,начали горчить сливки на второй день после дойки.Так молочко вкусное,жирное,а два дня постоит сливки горькие становятся.Сначала прокололи Ивермек,не было результата,потом дали порошок Клозальбен и в еду добавляли пропиленгликоль 10 дней и одновременно с водой глюкозу 5 дней,нет результата.У коровки будет четвертый отел,до отела еще 5.5 месяца.Пока выходим из положения подогревом молочка до 50 градусов,но это все равно не выход.Какие могут быть варианты чтобы избавиться от горечи в сливках и почему не помогают противогельминтные препараты.Всех коровок кормим одинаково,всех проглистовали и телят тоже.Еще проколоть Роленол можно,но мне кажется это уже слишком много отравы,а вдруг теленка скинет?Еще больше проблем будет.Посоветуйте пожалуйста что делать.",0,0,0,0,1,0,0,0,0,0,0
29,"Приветствую.
 Позавчера купил десяток телят: 7 бычков, 3 телочки. Возраст от 2 недель до месяца.
 Перекупщик (у которого я покупал) забрал их с фермы в обед), к 23:00 они были у меня, кормить сразу не стал.
 Накосячил. По совету Марины Nad знал, что надо их выпоить отваром чайным, но была такая спешка, что все к чертям забыл...
 На следующий день (вчера), утром, начал кормить: по 2л ЗЦМ (Мустанг Технологии). В обед к ЗЦМ добавил прибиотик Ветом 1.1. Кормил так же в обед и вечером. Уже в этот день начали поносить.
 В основном понос густой как крем, у некоторых жиденький.
 Как и чем лечить?
 Спасибо.",1,0,1,1,0,0,0,0,0,0,0
30,"Добрый день. Корове два года. Первый раз отелилась 5 месяцев назад. После этого мы ее купили. Порода гольфштейн. Молока дает до 17 литров. Сдавали анализ молока показал повышеный соматический. Сдали с каждого вымени, показал стафилококк. После антибиотиков (в анализах указали какие отзываются) сдали анализ опять зараза только теперь стрептококк и в другом вымени. Несколько раз сдавали еще молоко, показывает все время разную заразу в разных сосках. Сдали кровь. Показатели плохие. Ответ прикреплен. Ветеринар разводит руками. В чем проблема непонятно. Корм и микроэлементы по словам ветеринара даем норму. Соматическое растет. Может есть какие то мысли?
 П.С. Молоко без хлопьев, ест нормально, не худая, пьет нормально. Хотя один раз выпила 13 ведер.",0,0,0,0,1,0,0,0,0,0,0
31,"Чем лечить маленького телёнка, если он изредка подкашливает?
День добрый. Подскажите, теленок 1.5 месяца изредка подкашливает. Чем лечить?",0,0,0,0,0,1,0,0,0,0,1
32,"Что на глазу у коровы? Интересно, чем и как лечить это?",0,1,0,0,0,0,0,0,0,0,0
33,"Телёнок запоносил при смене корма, что не так в корме ?",1,0,1,1,0,0,0,0,0,0,0
34,"Лечение телят от поноса.

 Подскажите, как можно вылечить телят от поноса.",1,0,1,1,0,0,0,0,0,0,0
35,"Корова отелилась в срок, не больная. Роды не затяжные, телёнок быстро поднялся (тёлочка). В течении дня сосал. К вечеру был стул кашицей, затем жидковатый стул жёлтого цвета, 2 раза. Это всё было вчера. Сегодня к обеду телёнка отделили от коровы (посоветовал ветврач, но он телёнка не видел), сказал, наверное, пересосал. Сегодня до вечера у телёнка стула не было, в животе урчало, вечером жидкий стул жёлтого цвета, с неприятным запахом. До вечера 2 раза давали заварку чёрного чая с отваром иван-чая и душицы + 2 таблетки, панкреатина. Ещё вечером к этому составу немного молозива добавили. Но все это телёнок путём не сосал (вроде бы хочет, но плохо сосал). Посоветуйте, пожалуйста, как дальше лечить телёнка?",1,0,1,1,0,0,0,0,0,0,0
36,"Добрый день, у меня такая проблема, быка обдуло. Приходил ветврач. Сказал, чтобы заливали масло, и он встанет и всё больше не чего не делайте. Но у него задние ноги как парализованы, мы заливали масло, мяла голодную ямку. Уже все нормально, начал работать желудок. Но он по-прежнему не встаёт на задние ноги уже неделю, мы его переворачиваем, вот только вчера начал дёргать ногами. Но результата нет, не встаёт и всё. Связки не порвал, кушает сейчас хорошо. ПОМОГИТЕ ЧТО ДЕЛАТЬ? Ему полгода.",0,0,0,0,0,0,0,1,0,0,1
37,"Помогите остановить понос у 10 дневного телёнка. Третий день понос жёлто-зелёного цвета, как вода. Давала чай сладкий, яйца, геркулесовый отвар. Вчера уколола «Дизпаркол» 2 кубика в стайке сухо, чисто. Как остановить понос?",1,0,1,1,0,0,0,0,0,0,0
38,"У быка заболели ноги, как-то так резко, не копыта, а именно ноги. Передние ноги у быка как будто бы не гнутся и на задние хромает. Что это может быть и как лечить? Помогите, пожалуйста!",0,0,0,0,0,0,0,1,0,0,1
39,"Помогите, пожалуйста!
 Корова по недосмотру съела 10 кг мелких сухарей (ржаные) у нее пропала жвачка, через полтора дня перестала вставать. Вызывали ветеринаров, вливали тимпанол, молочную кислоту с чемерицей, делали капельницу с глюкозой и кальцием (один раз), жвачка через пару дней наладилась, кишечник работает хорошо.
 на задние ноги так и не встает, один раз встала, очень тряслись задние ноги. садится ""как собачка""
 корову ветеринары лечить не хотят, ей 13 лет, мол меняйте и все. но больно жалко ее, молоко вкусное. замену ищем но пока нет достойной...
 сами внутримышечно колем витамины и глюконат кальция.
 корова активно пробует вставать.
 подскажите что-нибудь..",0,0,0,0,0,0,0,0,1,0,1
40,"Работаю в СПК телятницей недавно еще. Ситуация такая: имеется ангар с телятами от 2 недель до 1,5 месяцев. Сначала поносов не было, единичные случаи. и буквально за 2 дня из 190 телят запоносили 32 теленка , причем как маленькие так и большие.Молоко заквашиваем муравьиной кислотой, раньше обычное 4-10 градусов привозили,нагревали до 20* потом заквашивали. Теперь пастеризованное привозят 27*, сразу заквашиваем. Еще температуру выпойки молока снизили с 34-35* до 32*. Думаем причина в этом. Плюс к этому жара стоит чуть ли не 40*, духота. Еще есть вариант что грязь занесли и молоко не заквасили просто напросто. Или все вместе сразу - жара, молоко другое и температуру еще снизили к всему прочему. Может ли все это спровоцировать понос или все-таки бактерии занесли?",1,0,1,1,0,0,0,0,0,0,0
41,"Тёлочке 2 месяца, забитый носик (как насморк). Чем закапать, чтобы нос дышал?",0,0,0,0,0,1,0,0,0,0,1
42,"Чем лечить кашель и сопли со сгустками крови у телёнка?
У тёлки 3,5 месяца сопли со сгустками крови и кашель. Температура в норме. Аппетит хороший, характерный Голштинке. До этого за месяц покупали бычка, было то же самое, только лечили от поноса, а прошло всё от антибиотика. Неужели и девочку надо колоть?",0,0,0,0,0,1,0,0,0,0,1
43,"У телят текут белые сопли, что это такое и чем лечить?",0,0,0,0,0,1,0,0,0,0,0
44,"У моей первотёлки не проходит отёк с правой стороны вымени.
Здравствуйте! Скажите пожалуйста, что это может быть: у моей первотёлки не проходит отёк с правой стороны вымени, и массажирую, доить хожу через два часа.",0,0,0,0,0,0,1,0,0,0,0
45,"Купили теленка черно-пестрой породы в колхозе, ему уже месяц. По началу все было хорошо, бегал и радовался жизни. Потом заметили на морде шишку, она росла росла и вскрылась, прошла... Думали все стало хорошо, но через пару дней заметили что у него стал опухать коленный сустав, думали тоже пройдет , но не прошло.... стали мазать ихтеолкой, опухоль вскрылась... но почему то не проходит вообще, теленок на ногу не встает, прокололи ему антибиотики, обрабатываем так же ихтеолкой и перекисью, но результата никакого... Он исхудал весь... Но к еде подходит, если его поднять то стоит... Боюсь пойдет абсцез, потому что длится уже почти 2 недели это.... Помогите опытные ветеринары или кто сталкивался с этим... Жалко теленочка...",0,1,0,0,0,0,0,0,0,0,1
46,"Высыпания у коровы на шее. 
Здравствуйте, сегодня заметил какие то высыпания у коровы на шее, что это и насколько опасно?",0,0,0,0,0,0,0,0,0,1,1
47,"Здравствуйте. Недавно заметил у корове на шее небольшие шишечки размером с комариный укус покрытые корочкой, которая легко сдирается. Вроде похожи на маленькие гнойнички. Подскажите что может быть пожалуйста.",0,1,0,0,0,0,0,0,0,0,1
48,"У теленка (2 месяца возраст) утром заложило нос и отказался от молока.
Здравствуйте. У теленка (2 месяца возраст) утром заложило нос и отказался от молока. Что делать, подскажите пожалуйста?",0,0,0,0,0,1,0,0,0,0,0
49,"Что за шишки появились на бычке?
У меня бычок годовалый, за 5 дней он сильно похудел, вчера смотрю, вижу появились шишки во многом количестве на задних ножках и чуть-чуть на шее, внизу. Я такое впервые вижу, что это может быть? Шишки мелкие, размером сантиметр и крепкие, когда трогаю шишки — бык сразу начинает дёргаться, что это может быть, кто встречал такое?",0,1,0,0,0,0,0,0,0,0,0
50,"Здравствуйте нужен совет, теленку 2 дня, сильно поносит с кровью, что можно сделать? Заранее всем спасибо!",1,0,0,0,0,0,0,0,0,0,1
51,"Столкнулись с проблемой, никак не можем понять, что это за болезнь.
Примерно две недели до настоящего момента корова находится в вялом состоянии, сначала пропала жвачка и ухудшился аппетит. Постепенно пропало молоко. Под скулами и в области шеи появилась не большой величины отечность, мягкая на ощупь, без уплотнений, затем также отекла и грудина в области передних ног. Корова не стонет, но плохо ест, нормально без лишнего пьет, настолько же испражняется. Жвачка иногда появляется, но, видимо она незначительна из-за недоедания. Встает самостоятельно, но двигается мало. Опасаемся, что это заразно.",0,0,0,0,0,0,0,0,1,0,1
52,"Здравствуйте! Вчера отелилась тёлочка, подоила её, всё нормально было, сегодня с утра стала доить, а один сосок как будто засорённый, молозиво плохо идёт, пока сцеживала сосок аж посинел, вижу, что ей больно, ещё после отёла она не спокойная очень, дою её только с мужем. Вымя на той доле затвердевшее. Намазала её мылом хозяйственным. Что делать дальше???",0,0,0,0,1,0,1,0,0,0,0
53,"Корова первотелка ,до родов примерно месяц ,стало набухать вымя .При нажатии на соски ,выделяется черно - бурая липкая жидкость ,Что это может быть ? какое то заболевание ? кто сталкивался с такой проблемой ?",0,0,0,0,1,0,1,0,0,0,0
54,"Поносит теленок что делать?
У меня поблемка поносит теленок ему 14 дней. Даю отвар риса,чай. Правильно ли я делаю. И еще вопрос подскажите он с голоду не умрет.",1,0,1,1,0,0,0,0,0,0,0
55,"Бычку 7 месяцев выросла шишка на щеке под глазом, размером с мужской кулак,на ощупь твёрдая как кость ,глаз не течёт,подскажите что делать.",0,1,0,0,0,0,0,0,0,0,0
56,Корова не встает на задние ноги. Что проколоть?,0,0,0,0,0,0,0,1,0,0,1
57,"Всем доброго времени суток!
 Помогите, кто сталкивался с такой проблемой: за неделю умерло 14 телят. Возраст от недели до месяца. Были вялые, отказывались от пищи, некоторые лежали и дрожали. У всех были поносы, а у некоторых кровавые. Разрезали пару телят, в желудках было что-то похожее на сыр. Подскажите, что делать???",1,0,0,0,0,0,0,0,0,0,1
58,У коровы на дойке болячка что за зараза и что с ней делать первый раз такое вижу .бьётся не даёт эту дойку доить и скаждым днём эта болячка увеличивается была маленькая а за 4 дня уже в большую превратилась .,0,0,0,0,0,0,0,0,1,1,1
59,"Здравствуйте! Первый отел у коровы, не идёт молозиво из соска. Очень сильный отёк с одной стороны вымени с переходом на живот. И этот сосок у основания отекший. Можно выдоить капельку. Аппаратом также ничего. Вставили катетер, прошёл без помех, лёгко, корова внимания не обратила. Но и через катетер ничего не выходит. Как понимаю, что канал свободен, не зарос. Так почему не идёт молозиво? И как его сдоить через катетер? Может, что не так делаем? В чем вообще может быть причина? И как помочь корове? Мы в замешательстве! Очень жду советов!",0,0,0,0,1,0,1,0,0,0,0
60,"Добрый вечер, корова доится с кровью, что это может быть? Кто знает, подскажите!",0,0,0,0,1,0,0,0,0,0,0
61,"Теленок сильно кашляет, чем лечить?",0,0,0,0,0,1,0,0,0,0,1
62,"Скажите пожалуйста, что делать если теленок в возрасте 6 месяцев упал на ноги?",0,1,0,0,0,0,0,1,0,0,1
63,"Добрый вечер.После зимы на поле вывели телку,пришла с таким выменем,скорее всего мошкара покусала.Чем лечить.Твердое и горячее все.",0,0,0,0,0,0,1,0,0,0,0
64,"Добрый день! Помогите, пожалуйста, что с коровой? Первые симптомы пошли 19 августа, у коровы резко снизился удой. Появился понос и так два дня. Дальше стул пошел твердый, воду пьет мало. Траву ест плохо, появилась припухлость морды и отек под челюстью. Язык белый и слизистые тоже . Сено не ест, но тыкву пропобовали давать , ела. Вызывали ветеринара, сделали капельницу, колем антибиотик стрептомицин . Улучшений пока нет.",0,0,0,0,0,0,0,0,1,0,1
65,"По какой причине горчит молоко у коровы
Почему горчит молоко, корову обрабатываем каждый год, с быком была 2 сентября.",0,0,0,0,1,0,0,0,0,0,0
66,"Чем мазать сустав на ноге коровы, который опух?
Подскажите, пожалуйста, у коровы припух сустав задней ноги (на сгибе возле копыта) сильно хромает. Чем лучше смазывать?",0,1,0,0,0,0,0,0,0,0,1
67,"Отелилась первотёлка в ночь на 28.12. Доились довольно исправно, одна доля самая молочная, вчера эта правая задняя доля на ощупь была твёрдой. Крупки, хлопьев в молоке нет, никаких привкусов тоже. Может ли задержаться отёк так надолго? Мог повлиять холод? У нас за бортом минус 40, в сарае минус 20, увы.Температура у коровки в норме, вымя не горячее. На ночь намазала ихтиолкой, сегодня отдоились нормально - без махания ногой. Но очень страшно пропустить что-то. Как увериться, что всё нормально?
 И второй вопрос по выделениям. Неприятного запаха нет, но очень яркие выделения в последние дни. На что обратить внимание или до 21 дня не волноваться?
 Спасибо.",0,0,0,0,0,0,1,0,0,0,1
68,"У коровы появился "" прыщ"" на боку мы с мужем только купили корову нетель 1,8 года.что это и чем лечить",0,0,0,0,0,0,0,0,1,1,1
69,"Гноится передняя нога у коровы.
Добрый день. Такая вот история. Есть корова, у нее сначала опухла передняя нога, от пута до колена. Потом у пута прорвался гной. Корова на ногу стает, но нога дрожит иногда.
Потом та ранка зажила, но прорвал гной около колена. Снова все зажило, и вот опять прорвало уже выше колена. Температуры у коровы нет. Ест нормально.
Но не набирает вес (нам она досталась очень худой), вялая часто и грустные глаза. К сожалению в моей глуши ветеринара не найти.",0,1,0,0,0,0,0,0,0,0,1
70,"Телёнок не встаёт после отёла уже неделю, ударяется головой при попытке его поднять... Что это? И как с этим бороться?",0,0,0,0,0,0,0,1,0,0,1
71,"всем привет , сегодня утром обнаружил слабость у телки, жвачка есть но слабое,она на привязи , выпустил погулять а она как то без настроения ,кал у нее нормальный что с ней может быть , только вчера была активная, кормлю я ее дробленной пшеницей и сеном, ветеренара нет, да и проколол гентамицинном ,....",0,0,0,0,0,0,0,1,0,0,1
72,"До отёла 9 дней, кровь во всех сосках.
Корова в запуске 2 месяца, попробовал молоко, а там кровь во всех сосках, до отёла осталось 9 дней.",0,0,0,0,1,0,0,0,0,0,0
73,"У коровы опухли молочные каналы и около пупка большая опухоль. Первые дни была маленькая шишка и постепенно с каждым днём вырастала и сегодня стала огромной. Уже нескольким ветеринарам показывали, не знают, что это и соответственно, как лечить! Пожалуйста, кто с этим сталкивался, кто что знает, как лечить — отпишитесь!",0,1,0,0,0,0,0,0,0,0,0
74,"Всем привет! Помогите пожалуйста, купили телёнка маленького, как привезли, он пососал корову, начал сильно поносить, прям молоком, струёй белого цвета и так много раз, дали лекарство стало лучше, кашицей уже, потом снова жидко и светлого цвета, пробовали поить электролитом, не помогает, таблетки в аптеке покупали от поноса, тоже не помогает, сам он кушает, ходит, но поносить не перестаёт. Почему кал светлого цвета, то жидкий со слизью, то кашица. У кого так было, подскажите, что делать????",1,0,1,1,0,0,0,0,0,0,0
75,здравствуйте теленку одному 1 мес другому 2 мес начали опухать ноги перед этим умер телёнок сделали вскрытие сказали что инфекция остальных телят прокололи азитронит и ашиэнро пошли на поправку но начали опухать ноги телята угнетённые аппетит хороший кормим зцм со льном и экструдерные палочки добавляем сено,0,1,0,0,0,0,0,0,0,0,1
76,"Как лечить гноящийся сустав у телёнка?
Помогите с лечением телёнка, сустав гноится, отверстие с палец примерно, уже двое ветеринаров смотрели, диагнозы разные ставили. Лечение: антибиотик и ихтиоловая мазь, результата нет, кто сталкивался, помогите.",0,1,0,0,0,0,0,0,0,0,1
77,"Телёнок вялый, перистальтика, поноса нет, что делать?
Здравствуйте. Мы взяли телёнка с фермы, все было хорошо, два дня телёнок вялый, встаёт не хотя, маленько стал зубами скрипеть, в животе идёт перистальтика, давали немного кормов и сухое молоко. Поноса не наблюдаю сегодня, что делать?",0,0,0,0,0,0,0,1,0,0,1
78,помогите у теленка отеки под глазами и припухлости. вдобавок еще уши опухли что делать как лечить подскажите пожалуйста),0,0,0,0,0,0,0,0,1,0,1
79,"Боднули корову в вымя, с одного соска молоко с кровью, что делать, как лечить? Вымя припухло.",0,0,0,0,1,0,1,0,0,0,0
80,"Здравствуйте, опять нужна помощь, у моей коровы под левым глазом появилась шишка. Вет не идет посмотреть, сказала наверное укусил кто, велела мазать левомеколью. Ничего не проходит даже больше стала.Что делать? Помогите подскажите пожалуйста.",0,1,0,0,0,0,0,0,0,0,0
81,"Телёнок поносит сильно, чем помочь, скажите.",1,0,1,0,0,0,0,0,0,0,1
82,"Чем лечить, если годовалый бычок начал кашлять?
Подскажите, пожалуйста, годовалый бычок начал кашлять, что может быть, чем лечить?",0,0,0,0,0,1,0,0,0,0,1
83,"Опухоль у телки под хвостом.
Здравствуйте!
Телка 14 месяцев, красная степная порода. Вчера вошла в охоту, поэтому обращали внимание на генитальную область. Утром все было хорошо. Сейчас обратили внимание, что под хвостом появилось значительное новообразование размером с яйцо, полностью покрывающее (нависающее) задний проход. Фотографии пока сделать не получается — в сарае слабый свет.
Опухоль у телки под хвостом. Может это укус насекомого? Или что-то посерьезнее",0,1,0,0,0,0,0,0,0,0,0
84,"Пролысины у телёнка. 
Купил телёнка. Чуть позже заметил, что у него образовались пролысины на ногах. Места голые до кожи. Кожа при этом розового цвета и гладкая. Ест хорошо. Молоко, сено, овсяные хлопья, вода. Настроение хорошее. Подскажите пожалуйста, как лечить? Может, уколы надо проколоть.",0,0,0,0,0,0,0,0,0,1,1
85,"Болит коленный сустав у коровы.
Здравствуйте, дайте пожалуйста совет, как быть.
После тяжелого отёла корова лежала продолжительное время, циркуляция крови в коленном суставе передней ноги была нарушена, что привело к опухоли сустава. После чего рана открылась и стал выходить гной, опухоль не спадет. сейчас рана сухая, гноя нет, но опухоль стала подниматься выше. Корова тяжело наступает на ногу. Это продолжается 3 недели.
Заранее спасибо за совет!",0,1,0,0,0,0,0,0,0,0,1
86,Добрый вечер. Помогите моей проблеме. В понедельник утром пришла кормить теленка ему 16 дней. А он какой то вялый еле ходит. Температура 40 соплей нет кашля тоже. Кал был зеленый и как желе. Сейчас понос зеленый. Кормлю молоком. Сейчас пошла кормить он вроде и хочет покушать а попьет немножко и все. Потом заметила сопли с пеной выходят из зо рта. Что это с ним?,0,0,0,0,0,1,0,0,0,0,1
87,"У коровы жидкий стул, что делать?
Скажите, пожалуйста, у коровы жидкий стул, что делать? Три месяца жидкий стул, не знаю уже что делать! Колола и от глистов, и от поноса, но толку нет. Уже сил нет.",1,0,0,0,0,0,0,0,0,0,1
88,"Подскажите пожалуйста. Телёнку месяц и 20 дней.Даю молоко 2 л. 3 раза.Кушает сено,но при введении в рацион молотого ячменя и овса,стал жидкий стул,сначала был белого цвета,сейчас тёмного.Это нормально или нет.Давали таблетки от поноса не помогает.Телят стоит двое.У второго все нормально.",1,0,1,1,0,0,0,0,0,0,0
89,"Пожалуйста откликнитесь ветеринары! Нужна квалифицированная помощь.У коровы сильная одышка, кашель, неприятный запах изо рта. гнойные выделения из носа. Болеет уже около двух месяцев . так как она стельная 5 мес. антибиотики дозировку боялись превышать . Ветеринар назначил препарат Нитокс- 200 . 2раза ставили по 2 цикла. Вроде помогло и снова повторяется. Аппетит хороший, но удой упал от 18 до 6 л в день. Сульприм -48 ставили - улучшений нет.Какой диагноз незнаем. Но явно что- то с дыхательными путями. откликнитесь пожалуйста!",0,0,0,0,0,1,0,0,0,0,1
90,"Осенью купили две коровы. Одна отелилась месяц назад, а теперь просто чахнет — высохла совсем. Другая ещё не отелилась. Мы заметили, что на них клещи, очень много, там, наверное, даже не десятки… Ужас. Как от избавиться от клещей и может ли корова из-за этого худеть? На других коровах клещей нет.",0,1,0,0,0,0,0,0,0,0,1
91,"Здравствуйте! Подскажите пожалуйста, у меня два бычка красно- степной породы 5 месяцев, по утрам текут выделения из носа и часто подкашливают,не знаю что делать. Подскажите пожалуйста, что может быть?",0,0,0,0,0,1,0,0,0,0,1
92,"Что делать при поносе у быка.
Бык стоит дома, ест сухое сено, а дрищет. Что делать, посоветуйте?",1,0,1,1,0,0,0,0,0,0,0
